Province,Year,Total_Accidents
Adana,2022,28147
Adıyaman,2022,3123
Afyonkarahisar,2022,7952
Ağrı,2022,1667
Amasya,2022,4037
Ankara,2022,139530
Antalya,2022,52408
Artvin,2022,1509
Aydın,2022,15295
Balıkesir,2022,17037
Bilecik,2022,2537
Bingöl,2022,1700
Bitlis,2022,1506
Bolu,2022,4838
Burdur,2022,3088
Bursa,2022,61181
Çanakkale,2022,6442
Çankırı,2022,2033
Çorum,2022,7159
Denizli,2022,17742
Diyarbakır,2022,10268
Edirne,2022,4911
Elazığ,2022,5576
Erzincan,2022,2859
Erzurum,2022,6829
Eskişehir,2022,13499
Gaziantep,2022,20547
Giresun,2022,4152
Gümüşhane,2022,931
Hakkari,2022,607
Hatay,2022,14881
Isparta,2022,4606
Mersin,2022,24998
İstanbul,2022,311815
İzmir,2022,94076
Kars,2022,1188
Kastamonu,2022,3562
Kayseri,2022,22493
Kırklareli,2022,3567
Kırşehir,2022,2427
Kocaeli,2022,37577
Konya,2022,32003
Kütahya,2022,5772
Malatya,2022,7722
Manisa,2022,17516
Kahramanmaraş,2022,10530
Mardin,2022,3621
Muğla,2022,20375
Muş,2022,1210
Nevşehir,2022,4257
Niğde,2022,3885
Ordu,2022,9451
Rize,2022,3423
Sakarya,2022,15990
Samsun,2022,19540
Siirt,2022,1097
Sinop,2022,2007
Sivas,2022,6595
Tekirdağ,2022,14442
Tokat,2022,5440
Trabzon,2022,8593
Tunceli,2022,624
Şanlıurfa,2022,9363
Uşak,2022,5104
Van,2022,4801
Yozgat,2022,3652
Zonguldak,2022,5934
Aksaray,2022,5512
Bayburt,2022,615
Karaman,2022,3341
Kırıkkale,2022,3261
Batman,2022,2884
Şırnak,2022,1671
Bartın,2022,1955
Ardahan,2022,470
Iğdır,2022,980
Yalova,2022,4267
Karabük,2022,2892
Kilis,2022,1096
Osmaniye,2022,4820
Düzce,2022,5946
Adana,2023,30147
Adıyaman,2023,3841
Afyonkarahisar,2023,8534
Ağrı,2023,1888
Amasya,2023,4654
Ankara,2023,150438
Antalya,2023,56728
Artvin,2023,1518
Aydın,2023,16223
Balıkesir,2023,18307
Bilecik,2023,2869
Bingöl,2023,1731
Bitlis,2023,1615
Bolu,2023,5467
Burdur,2023,3450
Bursa,2023,63581
Çanakkale,2023,7059
Çankırı,2023,2293
Çorum,2023,7870
Denizli,2023,18419
Diyarbakır,2023,12372
Edirne,2023,5335
Elazığ,2023,6420
Erzincan,2023,3212
Erzurum,2023,7268
Eskişehir,2023,14603
Gaziantep,2023,22291
Giresun,2023,4340
Gümüşhane,2023,1028
Hakkari,2023,625
Hatay,2023,15822
Isparta,2023,4983
Mersin,2023,28019
İstanbul,2023,314266
İzmir,2023,96893
Kars,2023,1241
Kastamonu,2023,3976
Kayseri,2023,25617
Kırklareli,2023,3830
Kırşehir,2023,2629
Kocaeli,2023,41498
Konya,2023,36190
Kütahya,2023,6308
Malatya,2023,9291
Manisa,2023,18453
Kahramanmaraş,2023,11890
Mardin,2023,3864
Muğla,2023,21648
Muş,2023,1327
Nevşehir,2023,4807
Niğde,2023,4287
Ordu,2023,10295
Rize,2023,3780
Sakarya,2023,17764
Samsun,2023,21968
Siirt,2023,1302
Sinop,2023,2197
Sivas,2023,7117
Tekirdağ,2023,15782
Tokat,2023,6016
Trabzon,2023,9570
Tunceli,2023,597
Şanlıurfa,2023,11143
Uşak,2023,5279
Van,2023,4990
Yozgat,2023,3818
Zonguldak,2023,6567
Aksaray,2023,6008
Bayburt,2023,635
Karaman,2023,3546
Kırıkkale,2023,3764
Batman,2023,3510
Şırnak,2023,1682
Bartın,2023,2194
Ardahan,2023,508
Iğdır,2023,982
