city,total_hours,saganak_hours,saganak_oran
osmaniye,26304,107,0.4067822384428224
rize,26304,107,0.4067822384428224
şırnak,26304,79,0.30033454987834546
adana,26304,74,0.28132603406326034
antalya,26304,72,0.2737226277372263
çanakkale,26304,67,0.2547141119221411
i̇zmir,26304,60,0.22810218978102187
aydın,26304,58,0.22049878345498783
giresun,26304,57,0.2166970802919708
samsun,26304,51,0.19388686131386862
düzce,26304,50,0.19008515815085159
i̇stanbul,26304,47,0.17868004866180048
zonguldak,26304,47,0.17868004866180048
muğla,26304,47,0.17868004866180048
ordu,26304,46,0.17487834549878345
edirne,26304,46,0.17487834549878345
isparta,26304,43,0.16347323600973235
kırklareli,26304,43,0.16347323600973235
trabzon,26304,40,0.15206812652068127
tekirdağ,26304,39,0.1482664233576642
kocaeli,26304,39,0.1482664233576642
sakarya,26304,38,0.1444647201946472
bartın,26304,37,0.14066301703163017
balıkesir,26304,37,0.14066301703163017
bursa,26304,36,0.13686131386861314
manisa,26304,36,0.13686131386861314
yalova,26304,34,0.12925790754257907
adıyaman,26304,33,0.12545620437956204
burdur,26304,32,0.12165450121654502
denizli,26304,31,0.11785279805352798
mersin,26304,31,0.11785279805352798
hakkari,26304,29,0.11024939172749391
sinop,26304,29,0.11024939172749391
çankırı,26304,28,0.10644768856447688
erzurum,26304,28,0.10644768856447688
bolu,26304,28,0.10644768856447688
siirt,26304,27,0.10264598540145986
uşak,26304,26,0.09884428223844283
kahramanmaraş,26304,26,0.09884428223844283
kastamonu,26304,25,0.09504257907542579
hatay,26304,25,0.09504257907542579
bitlis,26304,25,0.09504257907542579
bingöl,26304,25,0.09504257907542579
afyonkarahisar,26304,24,0.09124087591240876
ardahan,26304,24,0.09124087591240876
malatya,26304,24,0.09124087591240876
bayburt,26304,23,0.08743917274939172
kars,26304,23,0.08743917274939172
kilis,26304,22,0.08363746958637469
niğde,26304,22,0.08363746958637469
kırşehir,26304,22,0.08363746958637469
batman,26304,22,0.08363746958637469
diyarbakır,26304,21,0.07983576642335767
tokat,26304,20,0.07603406326034064
mardin,26304,20,0.07603406326034064
erzincan,26304,20,0.07603406326034064
muş,26304,19,0.0722323600973236
artvin,26304,19,0.0722323600973236
bilecik,26304,17,0.06462895377128954
şanlıurfa,26304,17,0.06462895377128954
elazığ,26304,17,0.06462895377128954
ankara,26304,17,0.06462895377128954
sivas,26304,16,0.06082725060827251
amasya,26304,16,0.06082725060827251
gaziantep,26304,16,0.06082725060827251
tunceli,26304,15,0.05702554744525547
yozgat,26304,15,0.05702554744525547
karabük,26304,14,0.05322384428223844
konya,26304,13,0.04942214111922141
kayseri,26304,13,0.04942214111922141
nevşehir,26304,13,0.04942214111922141
kütahya,26304,12,0.04562043795620438
çorum,26304,12,0.04562043795620438
eskişehir,26304,12,0.04562043795620438
aksaray,26304,11,0.041818734793187345
ağrı,26304,10,0.03801703163017032
karaman,26304,10,0.03801703163017032
iğdır,26304,10,0.03801703163017032
kırıkkale,26304,10,0.03801703163017032
gümüşhane,26304,9,0.034215328467153285
van,26304,7,0.02661192214111922
